Imagen,Centro_X,Centro_Y,Radio,Fitness
../imgs/C04.bmp,174.31,85.27,23.43,91.0
../imgs/C04.bmp,174.22,85.36,23.19,91.0
../imgs/C04.bmp,174.33,84.39,67.47,61.0
../imgs/C04.bmp,174.02,85.71,23.5,91.0
../imgs/C04.bmp,174.33,85.0,23.15,91.0
../imgs/C04.bmp,174.48,85.45,23.12,91.0
../imgs/C04.bmp,174.0,85.21,23.01,91.0
../imgs/C04.bmp,174.79,85.21,23.31,91.0
../imgs/C04.bmp,96.35,130.26,55.38,67.0
../imgs/C04.bmp,174.0,85.23,23.47,91.0
../imgs/C04.bmp,174.0,85.0,23.09,91.0
../imgs/C04.bmp,174.32,85.21,23.06,91.0
../imgs/C04.bmp,174.4,85.88,23.42,91.0
../imgs/C04.bmp,96.5,130.65,55.76,67.0
../imgs/C04.bmp,174.05,85.08,23.11,91.0
../imgs/C04.bmp,174.04,85.49,23.03,91.0
../imgs/C04.bmp,174.34,85.08,23.11,91.0
